ISim log file
Running: C:\Users\152\Documents\Ram and Jonny\Stopwatch-master\swtb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -view C:/Users/152/Documents/Ram and Jonny/Stopwatch-master/tbwv.wcfg -wdb C:/Users/152/Documents/Ram and Jonny/Stopwatch-master/swtb_isim_beh.wdb 
ISim P.68d (signature 0x7708f090)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
38288 014 3 7
38288 014 3 8
38288 014 3 9
38288 014 4 0
38288 014 4 1
38288 014 4 2
38288 014 4 3
38288 014 4 4
38288 014 4 5
38288 014 4 6
38288 014 4 7
38288 014 4 8
38288 014 4 9
38288 014 5 0
38288 014 5 1
38288 014 5 2
38288 014 5 3
38288 014 5 4
38288 014 5 5
38288 014 5 6
38288 014 5 7
38288 014 5 8
38288 014 5 9
38288 015 0 0
38288 015 0 1
38288 015 0 2
38288 015 0 3
38288 015 0 4
38288 015 0 5
38288 015 0 6
38288 015 0 7
38288 015 0 8
38288 015 0 9
38288 015 1 0
38288 015 1 1
38288 015 1 2
38288 015 1 3
38288 015 1 4
38288 015 1 5
38288 015 1 6
38288 015 1 7
38288 015 1 8
38288 015 1 9
38288 015 2 0
38288 015 2 1
38288 015 2 2
38288 015 2 3
38288 015 2 4
38288 015 2 5
38288 015 2 6
38288 015 2 7
38288 015 2 8
38288 015 2 9
38288 015 3 0
38288 015 3 1
38288 015 3 2
38288 015 3 3
38288 015 3 4
38288 015 3 5
38288 015 3 6
38288 015 3 7
38288 015 3 8
38288 015 3 9
38288 015 4 0
38288 015 4 1
38288 015 4 2
38288 015 4 3
38288 015 4 4
38288 015 4 5
38288 015 4 6
38288 015 4 7
38288 015 4 8
38288 015 4 9
38288 015 5 0
38288 015 5 1
38288 015 5 2
38288 015 5 3
38288 015 5 4
38288 015 5 5
38288 015 5 6
38288 015 5 7
38288 015 5 8
38288 015 5 9
38288 0 0 0 0
38288 0 0 0 1
38288 0 0 0 2
38288 0 0 0 3
38288 0 0 0 4
38288 0 0 0 5
38288 0 0 0 6
38288 0 0 0 7
38288 0 0 0 8
38288 0 0 0 9
38288 0 0 1 0
38288 0 0 1 1
38288 0 0 1 2
38288 0 0 1 3
38288 0 0 1 4
38288 0 0 1 5
38288 0 0 1 6
38288 0 0 1 7
38288 0 0 1 8
38288 0 0 1 9
38288 0 0 2 0
38288 0 0 2 1
38288 0 0 2 2
38288 0 0 2 3
38288 0 0 2 4
38288 0 0 2 5
38288 0 0 2 6
38288 0 0 2 7
38288 0 0 2 8
38288 0 0 2 9
38288 0 0 3 0
38288 0 0 3 1
38288 0 0 3 2
38288 0 0 3 3
38288 0 0 3 4
38288 0 0 3 5
38288 0 0 3 6
38288 0 0 3 7
38288 0 0 3 8
38288 0 0 3 9
38288 0 0 4 0
38288 0 0 4 1
38288 0 0 4 2
38288 0 0 4 3
38288 0 0 4 4
38288 0 0 4 5
38288 0 0 4 6
38288 0 0 4 7
38288 0 0 4 8
38288 0 0 4 9
38288 0 0 5 0
38288 0 0 5 1
38288 0 0 5 2
38288 0 0 5 3
38288 0 0 5 4
38288 0 0 5 5
38288 0 0 5 6
38288 0 0 5 7
38288 0 0 5 8
38288 0 0 5 9
38288 0 1 0 0
38288 0 1 0 1
38288 0 1 0 2
38288 0 1 0 3
38288 0 1 0 4
38288 0 1 0 5
38288 0 1 0 6
38288 0 1 0 7
38288 0 1 0 8
38288 0 1 0 9
38288 0 1 1 0
38288 0 1 1 1
38288 0 1 1 2
38288 0 1 1 3
38288 0 1 1 4
38288 0 1 1 5
38288 0 1 1 6
38288 0 1 1 7
38288 0 1 1 8
38288 0 1 1 9
38288 0 1 2 0
38288 0 1 2 1
38288 0 1 2 2
38288 0 1 2 3
38288 0 1 2 4
38288 0 1 2 5
38288 0 1 2 6
38288 0 1 2 7
38288 0 1 2 8
38288 0 1 2 9
38288 0 1 3 0
38288 0 1 3 1
38288 0 1 3 2
38288 0 1 3 3
38288 0 1 3 4
38288 0 1 3 5
38288 0 1 3 6
38288 0 1 3 7
38288 0 1 3 8
38288 0 1 3 9
38288 0 1 4 0
38288 0 1 4 1
38288 0 1 4 2
38288 0 1 4 3
38288 0 1 4 4
38288 0 1 4 5
38288 0 1 4 6
38288 0 1 4 7
38288 0 1 4 8
38288 0 1 4 9
38288 0 1 5 0
38288 0 1 5 1
38288 0 1 5 2
38288 0 1 5 3
38288 0 1 5 4
38288 0 1 5 5
38288 0 1 5 6
38288 0 1 5 7
38288 0 1 5 8
38288 0 1 5 9
38288 0 2 0 0
38288 0 2 0 1
38288 0 2 0 2
38288 0 2 0 3
38288 0 2 0 4
38288 0 2 0 5
38288 0 2 0 6
38288 0 2 0 7
38288 0 2 0 8
38288 0 2 0 9
38288 0 2 1 0
38288 0 2 1 1
38288 0 2 1 2
38288 0 2 1 3
38288 0 2 1 4
38288 0 2 1 5
38288 0 2 1 6
38288 0 2 1 7
38288 0 2 1 8
38288 0 2 1 9
38288 0 2 2 0
38288 0 2 2 1
38288 0 2 2 2
38288 0 2 2 3
38288 0 2 2 4
38288 0 2 2 5
38288 0 2 2 6
38288 0 2 2 7
38288 0 2 2 8
38288 0 2 2 9
38288 0 2 3 0
38288 0 2 3 1
38288 0 2 3 2
38288 0 2 3 3
38288 0 2 3 4
38288 0 2 3 5
38288 0 2 3 6
38288 0 2 3 7
38288 0 2 3 8
38288 0 2 3 9
38288 0 2 4 0
38288 0 2 4 1
38288 0 2 4 2
38288 0 2 4 3
38288 0 2 4 4
38288 0 2 4 5
38288 0 2 4 6
38288 0 2 4 7
38288 0 2 4 8
38288 0 2 4 9
38288 0 2 5 0
38288 0 2 5 1
38288 0 2 5 2
38288 0 2 5 3
38288 0 2 5 4
38288 0 2 5 5
38288 0 2 5 6
38288 0 2 5 7
38288 0 2 5 8
38288 0 2 5 9
38288 0 3 0 0
38288 0 3 0 1
38288 0 3 0 2
38288 0 3 0 3
38288 0 3 0 4
38288 0 3 0 5
38288 0 3 0 6
38288 0 3 0 7
38288 0 3 0 8
38288 0 3 0 9
38288 0 3 1 0
38288 0 3 1 1
38288 0 3 1 2
38288 0 3 1 3
38288 0 3 1 4
38288 0 3 1 5
38288 0 3 1 6
38288 0 3 1 7
38288 0 3 1 8
38288 0 3 1 9
38288 0 3 2 0
38288 0 3 2 1
38288 0 3 2 2
38288 0 3 2 3
38288 0 3 2 4
38288 0 3 2 5
38288 0 3 2 6
38288 0 3 2 7
38288 0 3 2 8
38288 0 3 2 9
38288 0 3 3 0
38288 0 3 3 1
38288 0 3 3 2
38288 0 3 3 3
38288 0 3 3 4
38288 0 3 3 5
38288 0 3 3 6
38288 0 3 3 7
38288 0 3 3 8
38288 0 3 3 9
38288 0 3 4 0
38288 0 3 4 1
38288 0 3 4 2
38288 0 3 4 3
38288 0 3 4 4
38288 0 3 4 5
38288 0 3 4 6
38288 0 3 4 7
38288 0 3 4 8
38288 0 3 4 9
38288 0 3 5 0
38288 0 3 5 1
38288 0 3 5 2
38288 0 3 5 3
38288 0 3 5 4
38288 0 3 5 5
38288 0 3 5 6
38288 0 3 5 7
38288 0 3 5 8
38288 0 3 5 9
38288 0 4 0 0
38288 0 4 0 1
38288 0 4 0 2
38288 0 4 0 3
38288 0 4 0 4
38288 0 4 0 5
38288 0 4 0 6
38288 0 4 0 7
38288 0 4 0 8
38288 0 4 0 9
38288 0 4 1 0
38288 0 4 1 1
38288 0 4 1 2
